영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
씽2게더,98.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 4%, 20대 20%, 30대 25%, 40대 41%, 50대 10%","감독 가스 제닝스, 스칼렛 요한슨, 리즈 위더스푼, 매튜 맥커너히, 할시, 퍼렐 윌리엄스",OST가 명곡인 유쾌한 영화,9610
트로트는 인생이다,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 0%, 20대 20%, 30대 23%, 40대 24%, 50대 34%","감독 투케이, 장영, 김동찬, 장소영, 김경진",OST가 명곡인 유쾌한 영화,18
제불찰씨 이야기,,,,"감독 이은미, 감독 김일현, 감독 곽인근, 조현정, 감독 이혜영",배우연기가 메소드급인 몰입하여 보게 되는 영화,8
걸즈 앤 판처 최종장 제3화,94.0,"성별예매 분포: 남 93%, 여 7%","연령별예매 분포: 10대 4%, 20대 38%, 30대 39%, 40대 13%, 50대 6%","감독 미즈시마 츠토무, 후치가미 마이, 나카가미 이쿠미, 이구치 유카, 오자키 마미",영상미가 뛰어나고 몰입하여 보게 되는 영화,402
긴 하루,0.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 0%, 20대 8%, 30대 56%, 40대 22%, 50대 13%","감독 조성규, 김성제, 김동완, 남보라, 서준영",배우연기가 메소드급인 공감되는 영화,42
애프터 미투,78.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 0%, 20대 12%, 30대 29%, 40대 31%, 50대 27%","감독 박소현, 감독 소람, 감독 이솜이, 감독 강유가람",스토리가 탄탄하고 공감되는 영화,1093
하우스 오브 구찌,92.0,"성별예매 분포: 남 42%, 여 58%","연령별예매 분포: 10대 2%, 20대 25%, 30대 33%, 40대 21%, 50대 20%","감독 리들리 스콧, 알 파치노, 제레미 아이언스, 아담 드라이버, 자레드 레토",배우연기가 메소드급인 몰입하여 보게 되는 영화,6460
비올레타,85.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 0%, 20대 21%, 30대 29%, 40대 24%, 50대 26%","감독 에바 이오네스코, 루이-도 드 렝퀘셍, 아나마리아 바토로메이, 드니 라방, 이자벨 위페르, 니콜라스 모리",배우연기가 메소드급인 몰입하여 보게 되는 영화,268
해탄적일천,93.0,"성별예매 분포: 남 48%, 여 52%","연령별예매 분포: 10대 1%, 20대 27%, 30대 32%, 40대 22%, 50대 19%","감독 에드워드 양, 호인몽, 장애가",감독연출가 훌륭하고 몰입하여 보게 되는 영화,660
철수♡영희,,,,"감독 황규덕, 정진영, 복진오, 박태영, 주부진",배우연기가 메소드급인 몰입하여 보게 되는 영화,40
밀라노 두오모 콘서트,98.0,,,,OST가 명곡인 몰입하여 보게 되는 영화,32
비욘드라이브 더 무비 : 엔시티 레조넌스,99.0,"성별예매 분포: 남 5%, 여 95%","연령별예매 분포: 10대 24%, 20대 49%, 30대 13%, 40대 10%, 50대 5%",,영상미가 뛰어나고 스트레스가 해소되는 영화,597
존경하고 사랑하는 국민여러분,0.0,"성별예매 분포: 남 59%, 여 41%","연령별예매 분포: 10대 0%, 20대 7%, 30대 32%, 40대 30%, 50대 31%","감독 김진홍, 문성근, 이재정, 유시민, 민승연",스토리가 탄탄하고 감동적인 영화,53
카오스,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 토니 기글리오, 웨슬리 스나입스, 헨리 체르니, 제이슨 스타뎀, 라이언 필립",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
블루버스데이,89.0,"성별예매 분포: 남 30%, 여 70%","연령별예매 분포: 10대 16%, 20대 41%, 30대 19%, 40대 14%, 50대 10%","감독 박단희, 김예림, 양홍석",스토리가 탄탄하고 몰입하여 보게 되는 영화,333
미스터 앤 미세스 아델만,95.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 0%, 20대 12%, 30대 23%, 40대 28%, 50대 37%","감독 니콜라스 베도스, 피에르 아르디티, 드니 포달리데스, 도리아 틸리에, 자부 브레트만, 니콜라스 베도스",배우연기가 메소드급인 몰입하여 보게 되는 영화,267
극장판 천재 추리 탐정 셜록홈즈,98.0,"성별예매 분포: 남 42%, 여 58%","연령별예매 분포: 10대 1%, 20대 6%, 30대 24%, 40대 58%, 50대 11%","감독 토우 옌, 감독 매튜 차우, 정성원, 박시윤, 김용",스토리가 탄탄하고 몰입하여 보게 되는 영화,177
효자,0.0,,,"감독 임찬상, 조용규, 송강호, 이재응, 박용수",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
신들의 분노,83.0,"성별예매 분포: 남 66%, 여 34%","연령별예매 분포: 10대 2%, 20대 15%, 30대 32%, 40대 32%, 50대 19%","감독 데이비드 F. 샌드버그, 애셔 앤젤, 헬렌 미렌, 메건 굿, 아담 브로디, D.J. 코트로나",영상미가 뛰어나고 기분이 좋아지는 영화,3742
장민호 드라마 최종회,97.0,"성별예매 분포: 남 16%, 여 84%","연령별예매 분포: 10대 0%, 20대 10%, 30대 25%, 40대 30%, 50대 34%",장민호,스토리가 탄탄하고 감동적인 영화,335
가슴이 떨리는 건 너 때문,82.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 5%, 20대 26%, 30대 27%, 40대 23%, 50대 19%","감독 타카하시 히로토, 이타가키 미즈키, 하라 나노카, 시라이시 세이, 우키쇼 히다카",배우연기가 메소드급인 설렘이 가득한 영화,242
극장판 안녕 자두야: 제주도의 비밀,95.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 3%, 20대 5%, 30대 31%, 40대 53%, 50대 9%","감독 손석우, 김영은, 정혜옥, 여민정, 정유미",스토리가 탄탄하고 유쾌한 영화,1484
굿 보스,93.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 16%, 30대 34%, 40대 25%, 50대 24%","감독 페르난도 레온 데 아라노아, 마놀로 솔로, 하비에르 바르뎀",배우연기가 메소드급인 몰입하여 보게 되는 영화,1831
